_id,store_id,store_name,address,mailing_city,state,zip,municipality,corp_id,neighborhood,longitude,latitude,business_phone,alternate_phone,price_verification,fuel_dispenser,scale,timing,misc_inspection,oob,unit,shopping_center,new_municipality
1016170,29999,SANDY CREEK SUPPLY,140 SANDY CREEK RD,VERONA,PA,15147,VERONA,,,-79.8510502680951,40.4818928069182,412-793-8303,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,PENN HILLS
1016171,30000,MIMI MOTHERHOOD MATERNITY,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,412-666-0644,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1016172,30003,EXPRESS FACTORY,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 856-9353,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1016173,30004,AMERICAN EAGLE OUTFITTERS,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 372-9092,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL ,Monroeville
1016174,30005,GNC,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 372-9600,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1016175,30006,BROOKSTONE,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,412-374-7241,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1016176,30007,JUSTICE,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 373-5480,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1016177,30010,SHERWIN WILLIAMS,3603 LIBRARY RD,PITTSBURGH,PA,15234,CASTLE SHANNON,,,-80.0176266617012,40.3649877490863,(412) 885-1050,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Castle Shannon
1016178,30011,BUSY BEAVER,2940 LIBRARY RD,PITTSBURGH,PA,15234,CASTLE SHANNON,,,-80.0059263918248,40.3752463678252,(412) 882-6633,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pittsburgh
1016179,30012,CHRISTOPHER & BANKS,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 373-7105,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1016180,30013,WET SEAL,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,412-856-6070,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1016181,30014,FOREVER 21,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 858-5295,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL,Monroeville
1016182,30015,RUE 21,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960330784525,40.4292719576588,(412) 372-8515,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL,Monroeville
